Company Name,Input URL,Contact URL Found,Has Form,Form Fields,Has Captcha,Emails Found,Phones Found,Method
xl-rpm.com,https://www.xl-rpm.com/,https://www.xl-rpm.com/contact-us/,Yes,frm_action(hidden) | form_id(hidden) | frm_hide_fields_1(hidden) | form_key(hidden) | item_meta[0](hidden) | frm_submit_entry_1(hidden) | _wp_http_referer(hidden) | name *(text) | item_meta[2](text) | email *(email) | subject *(text) | message *(textarea) | item_key(hidden) | item_meta[42](text) | frm_state(hidden) | your email(email) | hustle_module_id(hidden) | post_id(hidden) | hustle_sub_type(hidden),No,info@xl-rpm.com,"212-203-8684 | 212) 203-8684

80 | 2012-2026 | 646-417-5775",common_path
trihill.com,https://www.trihill.com/,https://www.trihill.com/contact-us,Yes,name(text) | label-dmform-0(hidden) | email(email) | label-dmform-1(hidden) | message(text) | label-dmform-3(hidden) | dmformsendto(hidden) | action(hidden) | dmformsubject(hidden) | dmformsubmitparams(hidden) | page_uuid(hidden),Yes,info@trihill.com,646) 485-0910,common_path
marin-mgmt.com,http://www.marin-mgmt.com/,https://www.marin-mgmt.com/contact-us,Yes,clientusername(text) | clientpassword(text),No,info@marin-mgmt.com,212-213-0123 | 212-213-0899,common_path
remny.com,https://remny.com/,https://remny.com/contact-rem/,Yes,post_id(hidden) | form_id(hidden) | referer_title(hidden) | queried_id(hidden) | your name(text) | your email(email) | phone number(tel) | property type(select-one) | message(textarea),No,,"10708
(212) 260-8060 | 10018
(212) 260-8060 | 212) 260-8060",common_path
citadelnyc.com,http://citadelnyc.com/,https://citadelnyc.com/contact-us/,Yes,s(search) | _wpcf7(hidden) | _wpcf7_version(hidden) | _wpcf7_locale(hidden) | _wpcf7_unit_tag(hidden) | _wpcf7_container_post(hidden) | _wpcf7_posted_data_hash(hidden) | _wpcf7_recaptcha_response(hidden) | your-name(text) | your-email(email) | tel-835(tel) | your-comment(textarea) | page-title(hidden),Yes,info@citadelnyc.com | info@citadelfl.com,646-654-0723 | 786-410-3889 | 646-654-0722,common_path
katyhine.com,https://www.katyhine.com/?utm_source=GBP&utm_medium=organic&utm_campaign=google,https://www.katyhine.com/contact-katy-hine,Yes,name-*(text) | email(email) | subject(text) | textarea_comp-kf59zlkr(textarea),No,KatyHineCompany@gmail.com,347) 244-2228 | 347)244-2228,link_scan
dalanre.com,https://dalanre.com/,https://dalanre.com/contact,Yes,form-name(hidden) | name(text) | inquirytype(select-one) | phone(text) | email(email) | message(textarea),No,Help@DalanRe.com,"212) 929-0510
134",common_path
canvaspg.com,http://canvaspg.com/,https://canvaspg.com/contact-us/,Yes,"frm_action(hidden) | form_id(hidden) | frm_hide_fields_1(hidden) | form_key(hidden) | item_meta[0](hidden) | frm_submit_entry_1(hidden) | _wp_http_referer(hidden) | dropdown(select-one) | name
        *(text) | phone(tel) | email
        *(email) | category(select-one) | message(textarea) | item_key(hidden) | item_meta[46](text) | frm_state(hidden)",Yes,,,common_path
batrare.com,http://www.batrare.com/,https://batrare.com/contact,Yes,name(text) | email(email) | phone(tel) | interest(select-one) | message(textarea) | opt in/disclaimer consent:(checkbox) | middlename(text) | source(text) | button_text(hidden) | first name(text) | last name(text) | middle name(text) | source(hidden) | email(hidden) | trigger source(hidden) | phone number(tel),Yes,info@batrare.com,"10016

(646) 202-1877 | 33137

(305) 503-6142",common_path
ayfinderpm.com,http://www.wayfinderpm.com/,https://www.wayfinderpm.com/contact,Yes,select-one(select-one) | sl(text) | tl(text) | query(text) | gtrans(text) | vote(text),No,support@propertymanagerwebsites.com,"646.345.5267
20 | 646.345.5267 | 212.330.8000",link_scan
nysmi.com,http://www.nysmi.com/,https://nysmi.com/contact/,Yes,g-recaptcha-response(textarea),Yes,,,link_scan
gresnickrealty.com,http://www.gresnickrealty.com/,https://www.gresnickrealty.com/contact,No,,No,info@gresnickrealty.com,10003-1502 | 917-560-3347,link_scan_no_form
miltonhousemgmt.com,https://www.miltonhousemgmt.com/,https://miltonhousemgmt.com/contact-us,Yes,first name*(text) | last name*(text) | email*(email) | phone number*(tel) | message*(textarea),No,info@miltonhousemgmt.com,347) 794-0732,common_path
galleriapm.com,https://galleriapm.com/,https://galleriapm.com/contact-us/,Yes,_wpcf7(hidden) | _wpcf7_version(hidden) | _wpcf7_locale(hidden) | _wpcf7_unit_tag(hidden) | _wpcf7_container_post(hidden) | _wpcf7_posted_data_hash(hidden) | your-name(text) | your-email(email) | your-subject(text) | your-message(textarea),No,ccastillo@GalleriaPM.com,516.610.0389 | 10003-1502,common_path
greenrevolutioneast.com,https://greenrevolutioneast.com/,https://greenrevolutioneast.com/contact-us/,Yes,_wpcf7(hidden) | _wpcf7_version(hidden) | _wpcf7_locale(hidden) | _wpcf7_unit_tag(hidden) | _wpcf7_container_post(hidden) | _wpcf7_posted_data_hash(hidden) | full_name(text) | contact_email(email) | phone(tel) | property_address(text) | message(textarea),No,info@greenrevolutioneast.com,"10003
(914) 490-3433 | 914) 490-3433",common_path
alderprop.com,http://alderprop.com/,https://alderprop.com/contact-us,Yes,youremail@mail.com(text),No,info@alderprop.com,212 372 6000 | 212 372 6022 | 2006-2015,common_path
nbmgmt.com,http://www.nbmgmt.com/,https://www.nbmgmt.com/contact-us/,Yes,_wpcf7(hidden) | _wpcf7_version(hidden) | _wpcf7_locale(hidden) | _wpcf7_unit_tag(hidden) | _wpcf7_container_post(hidden) | _wpcf7_posted_data_hash(hidden) | fname(text) | lname(text) | sadd(text) | addline(text) | city(text) | state(text) | zip(text) | attach(file) | email(email) | phno(text) | comments(textarea) | _wpcf7_ak_hp_textarea(textarea) | _wpcf7_ak_js(hidden),No,billing@nbmgmt.com | info@nbmgmt.com | ap@nbmgmt.com,212-532-0248 | 212-674-6123 | 646-453-5278,common_path
