timestamp,company,call_type,prompt_tokens,completion_tokens,total_tokens,est_cost_usd,cumulative_cost_usd
2026-04-05 23:34:24,Remny,pitch_subject,129,260,389,0.000175,0.000175
2026-04-05 23:34:24,Marin Mgmt,pitch_subject,132,260,392,0.000176,0.000351
2026-04-05 23:34:24,Citadelnyc,pitch_subject,133,260,393,0.000176,0.000527
2026-04-05 23:34:25,Batrare,pitch_subject,131,260,391,0.000176,0.000703
2026-04-05 23:34:25,Xl Rpm,pitch_subject,133,260,393,0.000176,0.000879
2026-04-05 23:34:25,Ayfinderpm,pitch_subject,131,260,391,0.000176,0.001054
2026-04-05 23:34:25,Dalanre,pitch_subject,131,260,391,0.000176,0.001230
2026-04-05 23:34:25,Katyhine,pitch_subject,130,260,390,0.000176,0.001406
2026-04-05 23:34:25,Canvaspg,pitch_subject,129,260,389,0.000175,0.001581
2026-04-05 23:34:25,Trihill,pitch_subject,129,260,389,0.000175,0.001756
2026-04-05 23:34:25,Nysmi,pitch_subject,131,260,391,0.000176,0.001932
2026-04-05 23:34:25,Trihill,pitch_subject,129,260,389,0.000175,0.002107
2026-04-05 23:34:27,Canvaspg,pitch_subject,129,260,389,0.000175,0.002283
2026-04-05 23:34:27,Katyhine,pitch_subject,130,260,390,0.000176,0.002458
2026-04-05 23:34:28,Ayfinderpm,pitch_subject,131,260,391,0.000176,0.002634
2026-04-05 23:34:28,Dalanre,pitch_subject,131,260,391,0.000176,0.002809
2026-04-05 23:34:38,Marin Mgmt,form_fill,461,360,821,0.000285,0.003095
2026-04-05 23:34:39,Trihill,form_fill,562,360,922,0.000300,0.003395
2026-04-05 23:34:39,Katyhine,form_fill,600,360,960,0.000306,0.003701
2026-04-05 23:34:39,Xl Rpm,form_fill,754,360,1114,0.000329,0.004030
2026-04-05 23:34:39,Remny,form_fill,676,360,1036,0.000317,0.004347
2026-04-05 23:34:40,Canvaspg,form_fill,762,360,1122,0.000330,0.004678
2026-04-05 23:34:41,Marin Mgmt,form_fill_recover,494,380,874,0.000302,0.004980
2026-04-05 23:34:41,Dalanre,form_fill,641,360,1001,0.000312,0.005292
2026-04-05 23:34:42,Batrare,form_fill,1374,360,1734,0.000422,0.005714
2026-04-05 23:34:42,Xl Rpm,form_fill_recover,787,380,1167,0.000346,0.006060
2026-04-05 23:34:43,Katyhine,form_fill_recover,633,380,1013,0.000323,0.006383
2026-04-05 23:34:43,Trihill,form_fill_recover,595,380,975,0.000317,0.006700
2026-04-05 23:34:43,Remny,form_fill_recover,709,380,1089,0.000334,0.007035
2026-04-05 23:34:43,Citadelnyc,form_fill,604,360,964,0.000307,0.007341
2026-04-05 23:34:45,Canvaspg,form_fill_recover,795,380,1175,0.000347,0.007688
2026-04-05 23:34:46,Dalanre,form_fill_recover,674,380,1054,0.000329,0.008018
2026-04-05 23:34:46,Batrare,form_fill_recover,1407,380,1787,0.000439,0.008457
2026-04-05 23:34:47,Citadelnyc,form_fill_recover,637,380,1017,0.000324,0.008780
2026-04-05 23:34:49,Ayfinderpm,form_fill,788,360,1148,0.000334,0.009114
2026-04-05 23:34:51,Ayfinderpm,form_fill_recover,821,380,1201,0.000351,0.009465
2026-04-05 23:34:51,Gresnick Realty,pitch_subject,133,260,393,0.000176,0.009641
2026-04-05 23:34:57,Miltonhousemgmt,pitch_subject,134,260,394,0.000176,0.009817
2026-04-05 23:35:00,Galleriapm,pitch_subject,133,260,393,0.000176,0.009993
