timestamp,company,call_type,prompt_tokens,completion_tokens,total_tokens,est_cost_usd,cumulative_cost_usd
2026-04-08 19:06:56,Neworleansluxuryliving,pitch_subject,139,260,399,0.000177,0.000177
2026-04-08 19:06:56,Srossie,pitch_subject,131,260,391,0.000176,0.000353
2026-04-08 19:06:56,Livingcoastal,pitch_subject,131,260,391,0.000176,0.000528
2026-04-08 19:06:56,Exp Realty,pitch_subject,129,260,389,0.000175,0.000704
2026-04-08 19:06:57,Williameastrealtor,pitch_subject,137,260,397,0.000177,0.000880
2026-04-08 19:06:57,Reverealtors,pitch_subject,133,260,393,0.000176,0.001056
2026-04-08 19:06:57,Soldbyroberto,pitch_subject,133,260,393,0.000176,0.001232
2026-04-08 19:06:57,Dorislumpkin,pitch_subject,133,260,393,0.000176,0.001408
2026-04-08 19:06:57,Hertz Group,pitch_subject,130,260,390,0.000176,0.001583
2026-04-08 19:06:57,Woodward Interests,pitch_subject,131,260,391,0.000176,0.001759
2026-04-08 19:06:57,Neworleansluxuryliving,pitch_subject,139,260,399,0.000177,0.001936
2026-04-08 19:06:58,Erareal Estate,pitch_subject,131,260,391,0.000176,0.002112
2026-04-08 19:07:00,Williameastrealtor,pitch_subject,137,260,397,0.000177,0.002288
2026-04-08 19:07:00,Woodward Interests,pitch_subject,131,260,391,0.000176,0.002464
2026-04-08 19:07:00,Erareal Estate,pitch_subject,131,260,391,0.000176,0.002639
2026-04-08 19:07:00,Dorislumpkin,pitch_subject,133,260,393,0.000176,0.002815
2026-04-08 19:07:01,Exp Realty,pitch_subject,129,260,389,0.000175,0.002991
2026-04-08 19:07:17,Neworleansluxuryliving,form_fill,879,360,1239,0.000348,0.003339
2026-04-08 19:07:17,Srossie,form_fill,1215,360,1575,0.000398,0.003737
2026-04-08 19:07:21,Williameastrealtor,form_fill,1423,360,1783,0.000429,0.004166
2026-04-08 19:07:21,Neworleansluxuryliving,form_fill_recover,912,380,1292,0.000365,0.004531
2026-04-08 19:07:22,Srossie,form_fill_recover,1248,380,1628,0.000415,0.004946
2026-04-08 19:07:26,Williameastrealtor,form_fill_recover,1456,380,1836,0.000446,0.005393
2026-04-08 19:07:29,Ap Deals,pitch_subject,129,260,389,0.000175,0.005568
2026-04-08 19:07:33,Livingcoastal,form_fill,657,360,1017,0.000315,0.005883
2026-04-08 19:07:34,Valmontrealtors,pitch_subject,135,260,395,0.000176,0.006059
2026-04-08 19:07:37,Wellingtoninvestmentsllc,pitch_subject,136,260,396,0.000176,0.006235
2026-04-08 19:07:37,Livingcoastal,form_fill_recover,690,380,1070,0.000331,0.006567
2026-04-08 19:07:40,Ap Deals,form_fill,1145,360,1505,0.000388,0.006954
2026-04-08 19:07:44,Ap Deals,form_fill_recover,1178,380,1558,0.000405,0.007359
2026-04-08 19:07:48,Dumaine Investments,pitch_subject,133,260,393,0.000176,0.007535
2026-04-08 19:07:49,Mercier Realty,pitch_subject,131,260,391,0.000176,0.007711
2026-04-08 19:07:53,Bertucci Investments,pitch_subject,132,260,392,0.000176,0.007887
2026-04-08 19:07:54,Valmontrealtors,form_fill,580,360,940,0.000303,0.008190
2026-04-08 19:07:59,Valmontrealtors,form_fill_recover,613,380,993,0.000320,0.008509
2026-04-08 19:08:00,Wellingtoninvestmentsllc,form_fill,1770,360,2130,0.000481,0.008991
2026-04-08 19:08:02,Exp Realty,form_fill,434,360,794,0.000281,0.009272
2026-04-08 19:08:03,Bm Realty,pitch_subject,130,260,390,0.000176,0.009448
2026-04-08 19:08:04,Mercier Realty,form_fill,571,360,931,0.000302,0.009749
2026-04-08 19:08:06,Wellingtoninvestmentsllc,form_fill_recover,1803,380,2183,0.000498,0.010248
2026-04-08 19:08:08,Exp Realty,form_fill_recover,467,380,847,0.000298,0.010546
2026-04-08 19:08:09,Mercier Realty,form_fill_recover,604,380,984,0.000319,0.010864
2026-04-08 19:08:13,Bertucci Investments,form_fill,1540,360,1900,0.000447,0.011311
2026-04-08 19:08:14,Kfk Group,pitch_subject,131,260,391,0.000176,0.011487
2026-04-08 19:08:14,Reverealtors,form_fill,509,360,869,0.000292,0.011779
2026-04-08 19:08:15,Wysteria Properties,pitch_subject,133,260,393,0.000176,0.011955
2026-04-08 19:08:17,Montgomeryberman,pitch_subject,132,260,392,0.000176,0.012131
2026-04-08 19:08:17,Bertucci Investments,form_fill_recover,1573,380,1953,0.000464,0.012595
2026-04-08 19:08:18,Reverealtors,form_fill_recover,542,380,922,0.000309,0.012904
2026-04-08 19:08:32,Ghkinc,pitch_subject,131,260,391,0.000176,0.013080
2026-04-08 19:08:36,Jlv Construction,pitch_subject,131,260,391,0.000176,0.013256
2026-04-08 19:08:40,Montgomeryberman,form_fill,622,360,982,0.000309,0.013565
2026-04-08 19:08:44,Montgomeryberman,form_fill_recover,655,380,1035,0.000326,0.013891
2026-04-08 19:08:44,Inhab Group,pitch_subject,131,260,391,0.000176,0.014067
2026-04-08 19:08:47,Kfk Group,form_fill,574,360,934,0.000302,0.014369
2026-04-08 19:08:51,Kfk Group,form_fill_recover,607,380,987,0.000319,0.014688
2026-04-08 19:09:09,Historicpronola,pitch_subject,131,260,391,0.000176,0.014864
2026-04-08 19:09:11,Nevilledevelopment,pitch_subject,130,260,390,0.000176,0.015039
2026-04-08 19:09:20,Nola Housing,pitch_subject,131,260,391,0.000176,0.015215
2026-04-08 19:09:20,Arpentnola,pitch_subject,133,260,393,0.000176,0.015391
2026-04-08 19:09:21,Urban Properties,pitch_subject,129,260,389,0.000175,0.015566
2026-04-08 19:09:25,Historicpronola,form_fill,675,360,1035,0.000317,0.015883
2026-04-08 19:09:29,Historicpronola,form_fill_recover,708,380,1088,0.000334,0.016218
2026-04-08 19:09:32,Nevilledevelopment,form_fill,662,360,1022,0.000315,0.016533
2026-04-08 19:09:35,Nola Housing,form_fill,514,360,874,0.000293,0.016826
2026-04-08 19:09:36,Nevilledevelopment,form_fill_recover,695,380,1075,0.000332,0.017158
2026-04-08 19:09:41,Nola Housing,form_fill_recover,547,380,927,0.000310,0.017468
2026-04-08 19:10:00,Downtowndevelopment Group,pitch_subject,137,260,397,0.000177,0.017645
2026-04-08 19:10:05,Nevilledevelopment,confirm,125,1,126,0.000019,0.017664
2026-04-08 19:10:09,Urban Properties,form_fill,638,360,998,0.000312,0.017976
2026-04-08 19:10:13,Bourbonstreetdevelopment,pitch_subject,133,260,393,0.000176,0.018152
2026-04-08 19:10:14,Urban Properties,form_fill_recover,671,380,1051,0.000329,0.018480
2026-04-08 19:10:15,Redmellon,pitch_subject,133,260,393,0.000176,0.018656
2026-04-08 19:10:19,Mkredbuild,pitch_subject,131,260,391,0.000176,0.018832
2026-04-08 19:10:23,Elyodconstruction,pitch_subject,132,260,392,0.000176,0.019008
2026-04-08 19:10:24,Bourbonstreetdevelopment,form_fill,673,360,1033,0.000317,0.019325
2026-04-08 19:10:28,Bourbonstreetdevelopment,form_fill_recover,706,380,1086,0.000334,0.019659
2026-04-08 19:10:42,Urban Properties,confirm,206,1,207,0.000031,0.019690
2026-04-08 19:10:49,Rndcnola,pitch_subject,132,260,392,0.000176,0.019866
2026-04-08 19:11:01,Stadiamedmain,pitch_subject,133,260,393,0.000176,0.020042
2026-04-08 19:11:04,Rileyservicesllc,pitch_subject,134,260,394,0.000176,0.020218
2026-04-08 19:11:05,Redmellon,form_fill,380,360,740,0.000273,0.020491
2026-04-08 19:11:09,Redmellon,form_fill_recover,413,380,793,0.000290,0.020781
2026-04-08 19:11:16,Betterimageco,pitch_subject,131,260,391,0.000176,0.020957
2026-04-08 19:11:24,Rileyservicesllc,form_fill,674,360,1034,0.000317,0.021274
2026-04-08 19:11:25,Nolaplumberpals,pitch_subject,136,260,396,0.000176,0.021450
2026-04-08 19:11:28,Rileyservicesllc,form_fill_recover,707,380,1087,0.000334,0.021784
2026-04-08 19:11:28,Nolarp,pitch_subject,131,260,391,0.000176,0.021960
2026-04-08 19:11:39,Betterimageco,form_fill,805,360,1165,0.000337,0.022297
2026-04-08 19:11:44,Betterimageco,form_fill_recover,838,380,1218,0.000354,0.022650
2026-04-08 19:11:46,Handymanstevela,pitch_subject,133,260,393,0.000176,0.022826
2026-04-08 19:12:06,Dreamhomequeen,pitch_subject,131,260,391,0.000176,0.023002
2026-04-08 19:12:07,Sellmyhtxhome,pitch_subject,135,260,395,0.000176,0.023178
2026-04-08 19:12:08,Huxleymedcenter,pitch_subject,137,260,397,0.000177,0.023355
2026-04-08 19:12:15,Pelican Property Services,pitch_subject,133,260,393,0.000176,0.023531
2026-04-08 19:12:21,Domainatkirby,pitch_subject,133,260,393,0.000176,0.023707
2026-04-08 19:12:24,Sellmyhtxhome,form_fill,671,360,1031,0.000317,0.024023
2026-04-08 19:12:27,Nolarp,form_fill,604,360,964,0.000307,0.024330
2026-04-08 19:12:27,Iloverealtytx,pitch_subject,134,260,394,0.000176,0.024506
2026-04-08 19:12:28,Sellmyhtxhome,form_fill_recover,704,380,1084,0.000334,0.024840
2026-04-08 19:12:31,Nolarp,form_fill_recover,637,380,1017,0.000324,0.025163
2026-04-08 19:12:38,Brooksanddavis,pitch_subject,134,260,394,0.000176,0.025339
2026-04-08 19:12:39,Airehomesellers,pitch_subject,132,260,392,0.000176,0.025515
2026-04-08 19:12:50,Liveatridgepoint,pitch_subject,133,260,393,0.000176,0.025691
2026-04-08 19:12:52,Rockwellmgmt,pitch_subject,133,260,393,0.000176,0.025867
2026-04-08 19:12:54,Iloverealtytx,form_fill,566,360,926,0.000301,0.026168
2026-04-08 19:12:59,Iloverealtytx,form_fill_recover,599,380,979,0.000318,0.026486
2026-04-08 19:12:59,Residencesatthemed,pitch_subject,135,260,395,0.000176,0.026662
2026-04-08 19:13:00,Airehomesellers,form_fill,1005,360,1365,0.000367,0.027029
2026-04-08 19:13:04,Airehomesellers,form_fill_recover,1038,380,1418,0.000384,0.027412
2026-04-08 19:13:10,Homemaintenanceteamllc,pitch_subject,141,260,401,0.000177,0.027589
2026-04-08 19:13:22,Investkodiak,pitch_subject,133,260,393,0.000176,0.027765
2026-04-08 19:13:26,Residencesatthemed,form_fill,658,360,1018,0.000315,0.028080
2026-04-08 19:13:29,Neworleansreia,pitch_subject,135,260,395,0.000176,0.028256
2026-04-08 19:13:30,Residencesatthemed,form_fill_recover,691,380,1071,0.000332,0.028588
2026-04-08 19:13:35,Grantinvestmentpropertiesllc,pitch_subject,135,260,395,0.000176,0.028764
2026-04-08 19:13:37,Airehomesellers,confirm,228,1,229,0.000035,0.028799
2026-04-08 19:13:41,Homemaintenanceteamllc,form_fill,868,360,1228,0.000346,0.029145
2026-04-08 19:13:44,Rockwellmgmt,form_fill,481,360,841,0.000288,0.029433
2026-04-08 19:13:46,Homemaintenanceteamllc,form_fill_recover,901,380,1281,0.000363,0.029797
2026-04-08 19:13:49,Thebergerco,pitch_subject,131,260,391,0.000176,0.029972
2026-04-08 19:13:49,Rockwellmgmt,form_fill_recover,514,380,894,0.000305,0.030277
2026-04-08 19:13:50,Cimionline,pitch_subject,132,260,392,0.000176,0.030453
2026-04-08 19:13:59,Jrpbtheory,pitch_subject,134,260,394,0.000176,0.030629
2026-04-08 19:14:08,Neworleansreia,form_fill,665,360,1025,0.000316,0.030945
2026-04-08 19:14:12,Neworleansreia,form_fill_recover,698,380,1078,0.000333,0.031278
2026-04-08 19:14:26,Myoutsideguys,pitch_subject,133,260,393,0.000176,0.031454
2026-04-08 19:14:29,Rockwellmgmt,confirm,207,1,208,0.000032,0.031485
2026-04-08 19:14:37,Cimionline,form_fill,511,360,871,0.000293,0.031778
2026-04-08 19:14:41,Premiumfacility Services,pitch_subject,131,260,391,0.000176,0.031954
2026-04-08 19:14:42,Cimionline,form_fill_recover,544,380,924,0.000310,0.032263
2026-04-08 19:14:44,Lahasky Group,pitch_subject,134,260,394,0.000176,0.032439
2026-04-08 19:14:46,Carteblanchecontractors,pitch_subject,135,260,395,0.000176,0.032616
2026-04-08 19:14:49,Myoutsideguys,form_fill,613,360,973,0.000308,0.032924
2026-04-08 19:14:53,Myoutsideguys,form_fill_recover,646,380,1026,0.000325,0.033248
2026-04-08 19:14:59,Lahasky Group,form_fill,688,360,1048,0.000319,0.033568
2026-04-08 19:15:02,Universalfacility Services,pitch_subject,135,260,395,0.000176,0.033744
2026-04-08 19:15:04,Lahasky Group,form_fill_recover,721,380,1101,0.000336,0.034080
2026-04-08 19:15:05,Procleannola,pitch_subject,133,260,393,0.000176,0.034256
2026-04-08 19:15:24,Neworleansgeneralcontractor,pitch_subject,137,260,397,0.000177,0.034432
2026-04-08 19:15:41,Homeresolutionllc,pitch_subject,135,260,395,0.000176,0.034609
2026-04-08 19:15:42,Lbh Property Service,pitch_subject,133,260,393,0.000176,0.034785
2026-04-08 19:15:42,Palipressurepros,pitch_subject,135,260,395,0.000176,0.034961
2026-04-08 19:15:45,Lahasky Group,confirm,186,1,187,0.000029,0.034989
2026-04-08 19:15:54,Thesaxonycondos,pitch_subject,137,260,397,0.000177,0.035166
2026-04-08 19:15:55,Theownlife,pitch_subject,131,260,391,0.000176,0.035342
2026-04-08 19:16:00,1201canal,pitch_subject,134,260,394,0.000176,0.035518
2026-04-08 19:16:05,Thesaxonycondos,form_fill,1349,360,1709,0.000418,0.035936
